,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,218.375.636
1,VINHO DE MESA,Tinto,188.270.142
2,VINHO DE MESA,Branco,29.229.970
3,VINHO DE MESA,Rosado,875.524
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),38.707.220
5,VINHO FINO DE MESA (VINIFERA),Tinto,19.118.254
6,VINHO FINO DE MESA (VINIFERA),Branco,18.297.257
7,VINHO FINO DE MESA (VINIFERA),Rosado,1.291.709
8,SUCO,SUCO,65.467.906
9,SUCO,Suco de uva integral,34.367.996
10,SUCO,Suco de uva concentrado,31.099.910
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,95.202.101
15,DERIVADOS,Espumante,68.500
16,DERIVADOS,Espumante moscatel,326.200
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.320.650
19,DERIVADOS,Base Champenoise champanha,228.518
20,DERIVADOS,Base Charmat champanha,1.746.540
21,DERIVADOS,Bebida de uva,-
22,DERIVADOS,Polpa de uva,2.112.683
23,DERIVADOS,Mosto simples,88.910.980
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,2.000
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,8.000
35,DERIVADOS,Vinho licoroso,124.303
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,680
38,DERIVADOS,Bagaceira,2.100
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,25.367
41,DERIVADOS,Borra líquida,255.100
42,DERIVADOS,Borra seca,70.480
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
