,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,196.173.123
1,VINHO DE MESA,Tinto,157.776.363
2,VINHO DE MESA,Branco,37.438.069
3,VINHO DE MESA,Rosado,958.691
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),38.464.314
5,VINHO FINO DE MESA (VINIFERA),Tinto,17.208.996
6,VINHO FINO DE MESA (VINIFERA),Branco,20.054.804
7,VINHO FINO DE MESA (VINIFERA),Rosado,1.200.514
8,SUCO,SUCO,76.723.537
9,SUCO,Suco de uva integral,43.331.223
10,SUCO,Suco de uva concentrado,33.392.314
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,62.907.281
15,DERIVADOS,Espumante,2.700
16,DERIVADOS,Espumante moscatel,100.000
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.808.044
19,DERIVADOS,Base Champenoise champanha,234.725
20,DERIVADOS,Base Charmat champanha,376.968
21,DERIVADOS,Bebida de uva,3.860
22,DERIVADOS,Polpa de uva,2.484.000
23,DERIVADOS,Mosto simples,57.582.195
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,1.000
28,DERIVADOS,Néctar de uva,1.140
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,26.069
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,36.000
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,-
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,53.776
41,DERIVADOS,Borra líquida,50.954
42,DERIVADOS,Borra seca,142.850
43,DERIVADOS,Vinho Composto,3.000
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
