,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,196.904.222
1,VINHO DE MESA,Tinto,163.111.797
2,VINHO DE MESA,Branco,32.066.403
3,VINHO DE MESA,Rosado,1.726.022
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),45.782.530
5,VINHO FINO DE MESA (VINIFERA),Tinto,23.156.458
6,VINHO FINO DE MESA (VINIFERA),Branco,21.906.349
7,VINHO FINO DE MESA (VINIFERA),Rosado,719.723
8,SUCO,SUCO,64.879.790
9,SUCO,Suco de uva integral,33.673.396
10,SUCO,Suco de uva concentrado,31.206.394
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,64.072.127
15,DERIVADOS,Espumante,30.275
16,DERIVADOS,Espumante moscatel,159.781
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.470.700
19,DERIVADOS,Base Champenoise champanha,359.617
20,DERIVADOS,Base Charmat champanha,624.728
21,DERIVADOS,Bebida de uva,4.260
22,DERIVADOS,Polpa de uva,1.742.152
23,DERIVADOS,Mosto simples,58.517.506
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,2.500
28,DERIVADOS,Néctar de uva,10.000
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,1.009.000
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,100
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,-
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,-
41,DERIVADOS,Borra líquida,63.111
42,DERIVADOS,Borra seca,78.397
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
