,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,287.506.811
1,VINHO DE MESA,Tinto,241.057.928
2,VINHO DE MESA,Branco,42.942.053
3,VINHO DE MESA,Rosado,3.506.830
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),47.334.501
5,VINHO FINO DE MESA (VINIFERA),Tinto,27.583.032
6,VINHO FINO DE MESA (VINIFERA),Branco,18.812.571
7,VINHO FINO DE MESA (VINIFERA),Rosado,938.898
8,SUCO,SUCO,35.647.994
9,SUCO,Suco de uva integral,11.817.941
10,SUCO,Suco de uva concentrado,23.014.646
11,SUCO,Suco de uva adoçado,815.407
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,59.622.293
15,DERIVADOS,Espumante,88.690
16,DERIVADOS,Espumante moscatel,1.113.462
17,DERIVADOS,Base espumante,220.120
18,DERIVADOS,Base espumante moscatel,474.721
19,DERIVADOS,Base Champenoise champanha,-
20,DERIVADOS,Base Charmat champanha,-
21,DERIVADOS,Bebida de uva,1.082.700
22,DERIVADOS,Polpa de uva,1.188.260
23,DERIVADOS,Mosto simples,53.683.415
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,2.000
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,65.650
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,8.500
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,-
41,DERIVADOS,Borra líquida,1.679.775
42,DERIVADOS,Borra seca,-
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,15.000
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
