,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,210.308.560
1,VINHO DE MESA,Tinto,169.811.472
2,VINHO DE MESA,Branco,39.557.250
3,VINHO DE MESA,Rosado,939.838
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),37.148.982
5,VINHO FINO DE MESA (VINIFERA),Tinto,16.745.896
6,VINHO FINO DE MESA (VINIFERA),Branco,19.561.966
7,VINHO FINO DE MESA (VINIFERA),Rosado,841.120
8,SUCO,SUCO,87.894.468
9,SUCO,Suco de uva integral,52.233.155
10,SUCO,Suco de uva concentrado,35.661.313
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,107.349.704
15,DERIVADOS,Espumante,23.750
16,DERIVADOS,Espumante moscatel,110.100
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.607.727
19,DERIVADOS,Base Champenoise champanha,605.001
20,DERIVADOS,Base Charmat champanha,1.466.259
21,DERIVADOS,Bebida de uva,922
22,DERIVADOS,Polpa de uva,2.371.140
23,DERIVADOS,Mosto simples,100.911.592
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,-
28,DERIVADOS,Néctar de uva,1.000
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,56.000
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,1.350
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,25.800
41,DERIVADOS,Borra líquida,48.833
42,DERIVADOS,Borra seca,120.230
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
