,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,195.267.980
1,VINHO DE MESA,Tinto,157.290.088
2,VINHO DE MESA,Branco,35.408.083
3,VINHO DE MESA,Rosado,2.569.809
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),24.805.713
5,VINHO FINO DE MESA (VINIFERA),Tinto,11.401.406
6,VINHO FINO DE MESA (VINIFERA),Branco,13.013.027
7,VINHO FINO DE MESA (VINIFERA),Rosado,391.280
8,SUCO,SUCO,50.125.944
9,SUCO,Suco de uva integral,26.887.259
10,SUCO,Suco de uva concentrado,23.238.685
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,51.210.756
15,DERIVADOS,Espumante,10.125
16,DERIVADOS,Espumante moscatel,703.393
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.144.508
19,DERIVADOS,Base Champenoise champanha,92.082
20,DERIVADOS,Base Charmat champanha,254.000
21,DERIVADOS,Bebida de uva,7.900
22,DERIVADOS,Polpa de uva,1.951.606
23,DERIVADOS,Mosto simples,45.912.040
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,-
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,69.000
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,831.000
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,15.000
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,-
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,5.817
41,DERIVADOS,Borra líquida,64.304
42,DERIVADOS,Borra seca,149.981
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
