,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,144.629.737
1,VINHO DE MESA,Tinto,121.045.115
2,VINHO DE MESA,Branco,22.032.828
3,VINHO DE MESA,Rosado,1.551.794
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),37.615.422
5,VINHO FINO DE MESA (VINIFERA),Tinto,17.389.377
6,VINHO FINO DE MESA (VINIFERA),Branco,18.193.055
7,VINHO FINO DE MESA (VINIFERA),Rosado,2.032.990
8,SUCO,SUCO,77.805.352
9,SUCO,Suco de uva integral,50.239.767
10,SUCO,Suco de uva concentrado,26.861.009
11,SUCO,Suco de uva adoçado,120.320
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,584.256
14,DERIVADOS,DERIVADOS,142.888.747
15,DERIVADOS,Espumante,52.176
16,DERIVADOS,Espumante moscatel,515.800
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.962.443
19,DERIVADOS,Base Champenoise champanha,274.903
20,DERIVADOS,Base Charmat champanha,1.188.095
21,DERIVADOS,Bebida de uva,-
22,DERIVADOS,Polpa de uva,1.480.269
23,DERIVADOS,Mosto simples,135.614.344
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,645.816
26,DERIVADOS,Mosto dessulfitado,1.000
27,DERIVADOS,Mistelas,3.000
28,DERIVADOS,Néctar de uva,32.519
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,99.485
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,10.495
39,DERIVADOS,Licor de bagaceira,1.507
40,DERIVADOS,Vinagre,76.096
41,DERIVADOS,Borra líquida,901.431
42,DERIVADOS,Borra seca,25.996
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,3.372
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
