,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,86.319.015
1,VINHO DE MESA,Tinto,75.279.191
2,VINHO DE MESA,Branco,10.727.099
3,VINHO DE MESA,Rosado,312.725
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),18.070.626
5,VINHO FINO DE MESA (VINIFERA),Tinto,8.774.847
6,VINHO FINO DE MESA (VINIFERA),Branco,8.705.066
7,VINHO FINO DE MESA (VINIFERA),Rosado,590.713
8,SUCO,SUCO,42.210.389
9,SUCO,Suco de uva integral,31.117.869
10,SUCO,Suco de uva concentrado,11.092.520
11,SUCO,Suco de uva adoçado,-
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,53.950.314
15,DERIVADOS,Espumante,1.500
16,DERIVADOS,Espumante moscatel,100.000
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,1.325.700
19,DERIVADOS,Base Champenoise champanha,740.395
20,DERIVADOS,Base Charmat champanha,250.280
21,DERIVADOS,Bebida de uva,3.474
22,DERIVADOS,Polpa de uva,1.620.430
23,DERIVADOS,Mosto simples,49.770.993
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,-
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,24.200
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,1.000
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,5.000
41,DERIVADOS,Borra líquida,24.975
42,DERIVADOS,Borra seca,82.367
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
