,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,205.418.206
1,VINHO DE MESA,Tinto,164.143.454
2,VINHO DE MESA,Branco,39.211.278
3,VINHO DE MESA,Rosado,2.063.474
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),39.900.568
5,VINHO FINO DE MESA (VINIFERA),Tinto,18.209.043
6,VINHO FINO DE MESA (VINIFERA),Branco,21.366.975
7,VINHO FINO DE MESA (VINIFERA),Rosado,324.550
8,SUCO,SUCO,39.715.098
9,SUCO,Suco de uva integral,16.034.003
10,SUCO,Suco de uva concentrado,23.006.457
11,SUCO,Suco de uva adoçado,674.638
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,56.787.892
15,DERIVADOS,Espumante,-
16,DERIVADOS,Espumante moscatel,1.190.500
17,DERIVADOS,Base espumante,335.850
18,DERIVADOS,Base espumante moscatel,442.150
19,DERIVADOS,Base Champenoise champanha,-
20,DERIVADOS,Base Charmat champanha,-
21,DERIVADOS,Bebida de uva,420
22,DERIVADOS,Polpa de uva,1.352.417
23,DERIVADOS,Mosto simples,53.418.555
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,-
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,3.500
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,38.000
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,-
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,-
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,6.500
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,-
41,DERIVADOS,Borra líquida,-
42,DERIVADOS,Borra seca,-
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,-
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
